"logFC","AveExpr","t","P.Value","adj.P.Val","B"
2.36878299386752,2.14492474784974,2.6329840642443,0.0136701651921851,0.364517119807905,-2.87033266944332
2.07743883610319,0.620335243531645,4.65202447882016,7.30955649722509e-05,0.28716810958765,1.06244927060209
1.94725733273772,1.26527826966816,2.48116076350706,0.0194265837774398,0.370553837168732,-3.13249072865677
1.79406576298991,0.765070345781334,2.47995761791474,0.01948004202133,0.370553837168732,-3.13453374674479
1.74762061542333,2.93062315974351,2.92381392328891,0.00680937233255771,0.349648568890495,-2.34653553290439
1.67287439150355,2.3762084903163,3.27035038823345,0.00286732852985948,0.346377270056899,-1.6926754850717
1.63689852178645,1.60788827133144,2.53577592143096,0.0171376456226706,0.370553837168732,-3.03916640626909
1.61700299943493,0.517728528811917,2.62606277911909,0.0138936536907429,0.367978881795721,-2.88246524860861
1.55267452322143,4.63997873480931,2.39700039812426,0.0235095897485629,0.387530104582604,-3.27401879650838
1.48327118259003,1.74749048512585,2.69160476025317,0.0119072612293037,0.361902765526877,-2.76691500019963
1.47499447350847,1.22562637090738,3.10114480810293,0.00439250925788401,0.346377270056899,-2.01540831246934
1.46886843061412,2.13488893012819,2.39173481539331,0.0237894913553074,0.388749650654258,-3.2827785971291
1.44582311839017,4.6684587002268,2.55234154517207,0.0164943026239269,0.370553837168732,-3.01063750137246
1.43303386435197,0.728006528137999,2.31337079603401,0.0283308951873699,0.396420965136957,-3.41177198848109
1.43153241386321,2.23795909407756,2.4268258325791,0.0219802672543819,0.38096974979433,-3.22418749681452
1.40541963867639,2.07883854722026,3.2150097776901,0.00329926256406681,0.346377270056899,-1.79888566258827
1.39854428617722,3.21104589981532,2.42234940521895,0.0222038273632632,0.382594019449444,-3.23168958334229
1.39050903707636,1.51633462592531,2.07288740613321,0.0475821778625975,0.440123429873211,-3.7904345219846
1.35789023861827,2.4653755501289,5.0606295915492,2.40307975294739e-05,0.28322697968238,1.87849836134067
1.34097603230721,1.4789419382107,3.02869866678031,0.005259990122891,0.346377270056899,-2.15163688321517
