"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FAM172A",0.420942047513493,2.2894507524163,1.48225490542722,0.149535399781312,0.570012631776256,-4.59006737052637
"IL9R",0.333450332106158,1.12808769075799,1.48223731195766,0.149540052388612,0.570012631776256,-4.59008804429083
"RPL9P9",0.530749367976473,6.67354363911243,1.48179447775782,0.149657198621383,0.570107667304115,-4.59060834375836
"GSTM2P1",-0.441418405156827,1.63457780491045,-1.48171217183932,0.14967897975465,0.570107667304115,-4.59070503331963
"AC009963.3.1",1.2158658950148,1.0157887451321,1.48159459493006,0.149710099296304,0.570107667304115,-4.59084315005725
"RP11-44F14.2.1",0.519117317070179,2.41849496073285,1.48125803288085,0.149799207270808,0.570262744474723,-4.59123845687584
"GMNN",0.290205421876806,1.58492926552362,1.48054275047355,0.149988726727992,0.570573844575354,-4.59207834031693
"MYL9",0.655699920302927,5.11389496342502,1.48030500138139,0.150051762828744,0.570573844575354,-4.59235743052526
"AC073869.20.1",-0.307224912137352,2.53878117694689,-1.4802817161973,0.150057937740015,0.570573844575354,-4.59238476266907
"OSGEP",-0.297069475071346,4.98841886917755,-1.48021898930334,0.150074573068352,0.570573844575354,-4.59245838971139
"HYI",-0.395441417724628,3.10625846762202,-1.47956268251428,0.150248716222728,0.57105171538248,-4.59322858896323
"RP11-50D9.1.1",0.43466993048117,5.21570663217662,1.47932573522044,0.150311627262834,0.571106653423522,-4.59350658548629
"PPFIA4",0.321318335918996,0.867807232221464,1.47890834458157,0.15042249869773,0.571175611227768,-4.59399619600967
"AL161626.1",-0.641258888987114,8.85873406760236,-1.47889252954248,0.150426700937637,0.571175611227768,-4.59401474522811
"CTD-3232M19.2.1",-0.333598105373482,3.00042203064444,-1.47870940057641,0.150475367309674,0.571176386187382,-4.59422952243315
"NT5C2",0.310230778219672,5.5743097472938,1.47847977277651,0.150536408596008,0.571224118387814,-4.59449880323168
"MTMR8",-0.387618922011966,0.770090062274638,-1.47829713943689,0.150584971694436,0.571224485481373,-4.59471294964837
"SRBD1",0.333122840561099,2.91743022720307,1.47778495519311,0.150721231181633,0.571381217555246,-4.59531339347726
"CDK7",0.381751464215253,3.39268857679886,1.47777737557425,0.150723248377674,0.571381217555246,-4.59532227792123
"SEC63",0.293525492518604,3.03290170455843,1.47725663184824,0.150861888078816,0.571639980752244,-4.59593257681667
"ST7",-0.292492557664219,2.27168549195782,-1.47709995284247,0.150903621415163,0.571639980752244,-4.59611616588472
"TAF5L",0.299344845759645,1.99333355014344,1.47697462107433,0.150937011717375,0.571639980752244,-4.59626301211854
"ZNF561",0.332624349155317,2.64876654601802,1.47649923489624,0.15106371585288,0.571746529199904,-4.59681990924919
"IGHV1-58",0.692195154409459,1.36690546654439,1.47644512588162,0.151078142883215,0.571746529199904,-4.5968832865157
"MRPL40",0.365987700120667,2.525641276509,1.47632312113956,0.151110676943637,0.571746529199904,-4.59702618220111
"STARD3NL",0.321725893970591,3.42422279826765,1.47573788957715,0.151266814394421,0.571828600867027,-4.59771148718621
"TCTN3",-0.2933018180912,2.89416561751361,-1.4757042200001,0.151275801245387,0.571828600867027,-4.59775090733961
"USP32",0.332745059620841,3.64140002250108,1.47552016512432,0.151324935483828,0.571828600867027,-4.597966384582
"ALPL",0.393261935315498,7.65247474154791,1.47551453502569,0.151326438664878,0.571828600867027,-4.59797297551562
"SHFM1P1",0.846461261922949,0.976046701733242,1.47480909968543,0.151514877912475,0.572118806591121,-4.59879863572468
"TBCE",0.342083389289047,2.1766394955805,1.47467335518145,0.151551160247539,0.572118806591121,-4.59895747711872
"TMEM55A",0.313748090080476,5.05583871175609,1.47444796108682,0.151611419898801,0.572118806591121,-4.59922119517135
"PDPK1",0.327773837336376,3.66834094067673,1.4743440921155,0.151639195994446,0.572118806591121,-4.59934271382138
"IFI16",0.313583055903548,6.88479802483202,1.47431884248782,0.151645948734996,0.572118806591121,-4.59937225285683
"RP11-572P18.1.1",0.441923091304788,7.18063615974184,1.47407366306108,0.151711531887877,0.572183076745764,-4.59965906155309
"FLVCR2.1",0.322543005170699,2.47442530202155,1.47367290773378,0.151818779152706,0.572311589290641,-4.60012777634175
"SIRT1",0.271865406411114,2.31114656617134,1.47349181895249,0.151867260800719,0.572311589290641,-4.60033953919158
"ZFAT",-0.56655840846748,3.00199284834951,-1.47340211158093,0.151891282139922,0.572311589290641,-4.60044443382022
"MYO15B",-0.26636833510132,3.8236198109366,-1.47281134392725,0.152049550820842,0.572724834124142,-4.60113508475988
"TMEM135",-0.583949171192811,1.38138558028945,-1.47234523575971,0.152174516223945,0.572868980343478,-4.60167983735801
"BLOC1S2",0.344842901171129,3.94264532515787,1.47230603007798,0.152185031177281,0.572868980343478,-4.60172565152172
"CDK3",0.305271584726484,2.58096924037495,1.47166770772064,0.152356311134614,0.573330613995072,-4.60247142659431
"HSP90AB1",-0.323213118113189,6.29773029944745,-1.47133509222688,0.152445622590192,0.57348359650431,-4.60285992690728
"SERPINB2",0.38865783204041,1.47906453494937,1.47070012161025,0.152616236887539,0.573942236106107,-4.6036013804948
"XXyac-R12DG2.2.1",-0.284879988342334,3.26393669473222,-1.47038128411559,0.152701965137335,0.573990295425899,-4.60397358601709
"RNU4-1",1.14410799845722,0.824206544850041,1.47015900452179,0.152761753991314,0.573990295425899,-4.6042330318293
"RP11-545E17.3.1",0.40285769018615,1.78274928739692,1.47010932507108,0.152775119357801,0.573990295425899,-4.60429101347007
"ANKRD46",0.326091761220777,1.5463112214966,1.46981681648199,0.152853832582616,0.574016972477128,-4.60463237168885
"RP11-96H19.1.1",0.711377170450853,1.77014019925006,1.46972098963638,0.152879626387723,0.574016972477128,-4.60474418957808
"RP11-397E7.2.1",-0.56129896755486,1.81549574309333,-1.46924532456056,0.15300771331304,0.574173020378258,-4.60529914133721
"RASSF2",0.263084008233449,6.92832511446618,1.46920483559201,0.15301862014323,0.574173020378258,-4.60534637235725
"BNIP3",0.275673696497794,2.20819263188428,1.46879169419241,0.153129946929035,0.574244995089465,-4.60582824651215
"SFI1",-0.291934995600938,5.57355190841623,-1.46877203176781,0.153135246866298,0.574244995089465,-4.60585117729281
"SREK1IP1",-0.296782106784428,2.21143993838359,-1.46823705745661,0.153279503779071,0.574603127080193,-4.60647497901934
