"ENSEMBL_ID"	"Gene_ID"	"ntRA_01"	"ntRA_02"	"ntRA_03"	"ntRA_04"	"ntRA_05"	"HC_01"	"HC_02"	"HC_03"	"HC_04"	"HC_05"	"HC_06"	"HC_07"	"HC_08"	"HC_09"	"HC_10"	"HC_11"	"HC_12"	"tRA_01"	"tRA_02"	"tRA_03"	"tRA_04"	"tRA_05"	"tRA_06"	"tRA_07"
"ENSG00000075239"	"ACAT1"	4.32596	11.4436	7.0551	7.20649	8.87398	12.6663	5.65868	7.95904	5.97283	8.39125	4.99303	6.16805	11.5127	5.94667	5.32698	6.20014	4.34091	7.26594	4.41389	5.71862	9.05327	12.3678	6.33381	4.99289
"ENSG00000075240"	"GRAMD4"	7.77618	10.9034	9.40638	7.80374	8.08042	9.41318	6.72949	9.51772	7.60239	9.67454	9.92031	7.11696	8.94083	5.77522	9.40233	9.92881	10.5611	16.3256	15.9137	15.8734	13.0405	12.3977	9.81633	4.61489
"ENSG00000075275"	"CELSR1"	0.557976	2.86149	0.479141	0.109972	1.44214	1.06658	0.494932	0.958695	1.08496	0.620707	0.438903	0.529403	0.394345	1.42224	0.880476	2.00525	0.306722	0.670943	0.874437	0.228935	1.09699	0.228015	0.445936	0.749193
"ENSG00000075290"	"WNT8B"	0	0.10768	0	0	0	0.0910093	0.0983499	0	0.0915828	0	0	0.101486	0	0	0	0.0871549	0	0	0	0	0.141788	0.249745	0	0
"ENSG00000075292"	"ZNF638"	12.6098	19.5952	21.3071	20.6261	23.6252	20.4801	12.1979	18.271	16.045	14.818	14.8955	14.2049	18.3905	16.7923	11.8513	20.0411	15.5762	13.43	21.1715	14.4681	16.7843	17.6452	15.0304	26.375
"ENSG00000075303"	"SLC25A40"	4.19754	8.06638	12.1481	6.21259	10.5421	3.79542	3.87174	4.45874	3.53236	10.1147	4.75063	2.59972	5.50061	3.59605	2.17735	5.40852	8.48062	9.41528	7.44595	9.33875	17.1984	8.39061	6.94896	12.6639
"ENSG00000075336"	"TIMM21"	2.69897	5.32082	4.01578	4.03232	3.88936	5.478	3.09879	1.94905	3.93103	3.99623	3.64298	1.88611	3.75121	3.56876	2.54043	4.86864	3.57788	3.91453	2.46371	2.17354	4.66981	4.28862	3.30588	3.34645
"ENSG00000075340"	"ADD2"	1.04636	3.42719	1.33953	2.32198	0.874927	1.41689	1.85756	2.18715	1.41499	0.744989	1.99466	1.80336	1.69258	3.30433	0.952721	1.20189	1.14685	1.94835	0.279541	0.502312	2.32767	2.326	0.813269	1.22076
"ENSG00000075388"	"FGF4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000075391"	"RASAL2"	0.117038	0.0700649	0.104363	0.0945716	0.0771092	0.166357	0.0212258	0.0871084	0.16019	0.0288109	0.0797566	0.0184077	0.066511	0.0837321	0	0.0188053	0.0244347	0.0716715	0.0508867	0.101174	0.0306086	0.0179932	0.0178149	0.128036
"ENSG00000075399"	"C16orf7"	31.3053	35.7836	26.7639	59.9327	32.9467	25.7931	41.8573	31.0596	28.5525	28.4081	27.0072	48.7962	33.0365	28.9304	30.1419	28.3425	45.2617	32.0958	39.2037	36.7115	29.3246	23.6377	52.016	22.9578
"ENSG00000075407"	"ZNF37A"	0.893321	2.12121	2.20172	2.07088	1.53189	1.97333	1.17196	0.929678	1.46023	1.18345	1.13761	1.12368	1.36196	0.917683	0.741126	1.20825	0.738221	1.12759	1.26736	1.47186	1.40528	2.0056	0.841188	0.874182
"ENSG00000075413"	"MARK3"	53.144	40.8258	49.9582	62.7066	49.5015	43.7193	71.6486	56.1249	56.2354	41.3756	61.8414	58.8843	63.5396	42.3346	54.4937	47.1682	49.3208	40.6546	47.0969	55.4774	40.2915	50.4091	64.8773	51.7005
"ENSG00000075415"	"SLC25A3"	180.071	186.133	131.336	149.422	108.554	182.696	162.652	146.444	171.659	132.788	168.296	150.669	145.872	179.896	156.619	150.527	129.806	178.454	113.674	165.182	163.634	188.055	178.905	110.725
"ENSG00000075420"	"FNDC3B"	7.8343	10.7918	15.2211	8.3245	18.1729	6.98978	18.2655	16.3134	12.5147	11.6734	11.1864	10.6063	15.9016	12.3888	9.71426	14.9155	14.6363	11.4126	18.0018	17.5165	10.3302	11.6668	12.1022	21.6114
"ENSG00000075426"	"FOSL2"	54.8306	31.3913	55.4368	41.3355	53.9701	32.2018	53.8297	48.8395	41.019	41.2475	42.2424	44.918	41.3816	36.3287	51.0288	53.4533	52.4167	58.6501	91.1662	69.3592	37.8722	36.8178	48.5861	42.4542
"ENSG00000075429"	"CACNG5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000075461"	"CACNG4"	0	0	0	0	0.0355872	0	0.118292	3.46876e-09	0	0	0	0	0	0.0556421	0	0	0.136303	0	0	3.1443e-09	0	0	0	0.0380696
"ENSG00000075539"	"FRYL"	8.6554	8.51222	8.6119	6.79044	8.37303	7.87852	6.28864	9.11793	6.8326	8.10497	8.12894	6.01319	7.55083	5.28435	8.38307	12.3189	6.00009	6.72476	6.45867	8.12869	10.8975	8.26356	5.40542	11.3613
"ENSG00000075568"	"TMEM131"	11.1073	12.1684	11.2464	11.6521	10.3835	17.1751	13.3472	14.8463	10.4806	10.4803	14.2158	12.7183	9.79804	13.5256	10.7653	14.5942	11.4549	13.603	11.5775	8.29453	13.2094	14.9374	8.80149	13.6072
"ENSG00000075618"	"FSCN1"	3.35419	4.11123	1.73665	2.48687	1.71306	3.98495	2.93113	3.71837	2.73896	4.05882	5.29216	1.89194	3.38915	4.40745	4.62923	3.76387	3.22857	6.54248	4.00144	5.07798	2.9961	4.84007	4.85361	2.34904
"ENSG00000075624"	"ACTB"	3379.54	2636.42	2467.07	2747.54	1963.28	3225.88	3413.87	3208.08	3485.46	3906.09	3796.37	3334.44	2922.3	3486.33	3629	3342.9	3897.15	3628.57	3099.22	3700.25	2919.34	3452.89	3645.34	4554.91
"ENSG00000075643"	"MOCOS"	0.0217508	0.0522992	0	0.0720434	0	0	0	0.0245045	0.0297024	0	0	0	0.0446764	0.029987	0	0	0	0	0	0	0	0	0	0.0203316
"ENSG00000075651"	"PLD1"	1.67647	1.01415	2.46726	2.1638	1.63335	0.971408	1.05452	2.26707	2.78965	3.49949	3.16276	0.90972	2.80991	1.13856	1.93127	1.54728	1.42076	1.76822	2.99068	2.78406	2.09403	2.89098	3.32228	2.68659
"ENSG00000075673"	"ATP12A"	0	0	0	0	0	0.0524026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0480035	0	0
"ENSG00000075702"	"WDR62"	0.477498	0.54894	0.3827	0.287496	0.29091	0.504767	0.504642	0.487097	0.791981	0.74048	0.544902	0.352303	0.353928	0.630911	0.42447	0.772883	0.235669	0.321756	0.226754	0.40072	0.635003	0.815501	0.492863	0.270373
"ENSG00000075711"	"DLG1"	7.10275	7.80039	7.94536	5.30641	10.6143	8.83728	5.20041	7.04566	10.7926	4.67629	9.75033	4.84888	8.25486	4.31936	2.79722	8.29366	12.9388	5.43201	3.02662	6.71162	7.03409	6.15101	4.70839	6.05498
"ENSG00000075785"	"RAB7A"	203.324	180.16	199.24	155.697	208.646	196.249	192.416	170.1	164.371	187.811	174.207	167.766	203.309	140.865	152.399	194.92	254.999	191.429	292.609	262.544	177.017	183.001	198.889	174.411
"ENSG00000075790"	"BCAP29"	4.82428	9.06447	7.67911	4.82898	9.08369	3.44135	3.17147	4.67529	7.16457	5.32446	2.23669	5.29636	5.91452	6.92217	8.74607	9.20663	11.2452	8.43299	3.98665	9.38157	6.46728	9.05406	4.4775	5.85765
"ENSG00000075826"	"SEC31B"	9.20409	16.6045	12.3933	22.2765	9.92996	22.1333	16.0777	14.1988	13.0766	10.7798	17.9757	11.5761	13.5914	19.6565	14.8353	15.4248	13.3033	13.1016	6.6677	8.84869	15.4751	13.1914	11.0625	9.19648
"ENSG00000075856"	"SART3"	13.5985	19.9737	14.9829	14.9472	15.9716	24.1553	14.9745	13.4695	14.6526	18.7308	20.6073	21.2066	13.9107	20.055	14.743	20.5656	13.8242	16.1783	14.2287	12.8417	27.1861	16.7708	11.6492	16.3519
"ENSG00000075884"	"ARHGAP15"	107.381	85.1984	82.3866	88.1881	114.874	74.5268	82.7741	95.2148	68.7011	56.2995	88.6721	62.713	104.862	79.4445	91.5817	72.4902	70.6974	72.4229	70.8018	77.7881	75.9953	80.4004	85.1887	175.862
