"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"MIRNA","hsa-mir-487a","MIRNA:hsa-mir-487a","false","0.000002398368239661992","5.620084135592722","637","554","52","16638","LAMTOR3,CAPZA1,ATP6V1G1,C1ORF52,ATP6V1C1,CLIC4,RAB8B,PEX2,SOAT1,TNPO1,SLK,TMEM123,MIB1,PPP1CB,HIPK3,IPMK,TMX1,PGM2,SLC25A24,SNX16,STAM2,ZNF24,UHMK1,DEK,POLR2K,GALNT3,FAM91A1,TMED5,ROCK1,TBL1XR1,RAD1,CCNT2,RIT1,SP3,RP2,C18ORF32,RRM2B,TC2N,NEK7,DSE,ZNF281,PCMTD2,SLC38A2,ADD3,PAG1,MBNL3,BACH1,C1GALT1,NAMPT,ARID4B,ZDHHC17,PPM1B"
"MIRNA","hsa-mir-371b-5p","MIRNA:hsa-mir-371b-5p","false","0.000002801458231622294","5.552615848267333","2225","554","124","16638","MPP7,OSTM1,FBXL5,GAS7,WTAP,SLC4A7,OSGIN2,KRR1,PRKACB,ATP6V1C1,CLIC4,FCHO2,C9ORF72,DMXL2,FGL2,ABCA1,ATP11C,TNPO1,CD164,GMFB,MBNL1,SPOPL,CTSS,YTHDF3,CDC40,SLC8A1,SLK,ADAM17,TMEM123,STK17B,ZNF701,PPP1CB,PGRMC1,RAB33B,YIPF4,PLEKHF2,PHF20L1,DNAJC3,NSL1,TMX1,SART1,MTHFD2,ATP11B,RNF11,SLC25A24,COPS2,WDFY2,STX7,SHOC2,MOSPD2,TGFBR1,STAM2,KIF5B,TMEM41B,FAR1,DCUN1D5,ZNF24,UHMK1,CUL4B,GOLPH3L,TMEM167A,SCOC,SPAST,FAM8A1,CD226,TRPM7,VMP1,IFI6,CCPG1,SFRP2,NPHP3,VCPIP1,GNA13,PRRG4,SAMD8,PPM1A,CHURC1,BAG1,CAPZA2,FAM91A1,CREB5,TMED5,ROCK1,VPS36,SLU7,PSMC6,RICTOR,PHTF2,TBL1XR1,CCNT2,TMEM170B,RB1CC1,DNAL1,KCNJ2,MAOA,RP2,KREMEN1,RRM2B,DISC1,NUFIP2,SUZ12,HSP90AA1,THAP5,NEK7,ZNF281,FOXN2,DDX3X,CABP4,TLR8,PCMTD2,FNIP1,SLC38A2,ZBTB34,HIGD1A,PAG1,BRCA2,HJURP,UQCRQ,SCYL2,BACH1,COMMD8,C1GALT1,ZNF22,IFIT2"
"MIRNA","hsa-mir-2054","MIRNA:hsa-mir-2054","false","0.0000029790536594213588","5.5259216740992505","878","554","64","16638","CYP1B1,MMD,SLC4A7,RB1,POLE2,STRN3,TNPO1,SLC35A5,IFIT5,ARL8B,STAG2,GMFB,MBNL1,RCHY1,GABPA,AIDA,PGRMC1,ACAP2,IPMK,RNF11,COPS2,SRP9,CHMP5,TGFBR1,KIF5B,TMEM41B,DCUN1D5,UHMK1,RNF138,CUL4B,TMEM167A,FAM8A1,IFI6,NBN,VCPIP1,IFIT1,PRRG4,VPS36,TMEM30A,RICTOR,TBL1XR1,RAD1,PJA2,CTBS,RRM2B,EDEM3,NEK7,ARRDC3,UBXN2B,MMRN1,DDX3X,IER3IP1,RAB36,MEGF9,SAMD9L,FNIP1,ADD3,BAIAP2L1,ZBTB34,HIGD1A,IL6ST,MBNL3,UQCRQ,CLEC4D"
"MIRNA","hsa-mir-550b","MIRNA:hsa-mir-550b","false","0.0000033728791001960982","5.471999225682639","531","554","46","16638","MPP7,SERINC1,KRR1,LIMS1,CLIC4,RB1,ATP11C,SOAT1,MED21,CD164,GMFB,MBNL1,UBE2J1,YTHDF3,SLC8A1,TMEM123,CASP3,DNAJC3,SART1,PCNP,TRIM52,COPS2,WDFY2,FAR1,ZNF24,UHMK1,TMEM167A,SCOC,NMD3,DAPP1,SLC25A40,SAMD8,PPM1A,UBE2W,CREB5,ROCK1,KCTD12,MATN2,EDEM3,NEK7,TLR4,C5ORF24,PAG1,MBNL3,ZDHHC20,ZDHHC17"
"MIRNA","hsa-mir-4262","MIRNA:hsa-mir-4262","false","0.0000035073239408459194","5.455024120281973","1713","554","102","16638","CYP1B1,MPP7,ACTA2,SRGN,CAPZA1,ITSN2,SLC4A7,C1ORF52,LIMS1,DMXL2,IDH1,ABCA1,SOAT1,TNPO1,GMFB,MBNL1,BAZ1A,UBE2J1,YTHDF3,CDC40,TAF7,SLK,ADAM17,TMEM123,DPH3,ZNF701,PPP1CB,YIPF4,PHF20L1,DNAJC3,NSL1,ACAP2,IPMK,PCNP,MEF2A,ATP11B,RNF11,SLC25A24,COPS2,PTPN22,RAP1B,SHOC2,TM9SF3,OSBPL8,MOSPD2,TGFBR1,FAR1,UHMK1,DEK,CSNK1G3,TMEM167A,NMD3,RNFT1,KBTBD7,GALNT3,CCDC126,VCPIP1,PRRG4,PPM1A,SACM1L,CHURC1,CAPZA2,CCP110,TMED5,PRUNE2,CMTM6,TMEM30A,PHTF2,TBL1XR1,PJA2,VBP1,WDFY1,DNAL1,TMX3,IQGAP2,RP2,HMGB2,RRM2B,ARHGEF17,NUFIP2,NEK7,ARRDC3,UBXN2B,FOXN2,TLR4,DDX3X,CDKN3,MEGF9,SAMD9L,SNX4,JAZF1,FNIP1,SLC38A2,ZNF514,XRRA1,APPL2,COMMD8,RNF13,RBM47,ZDHHC17,TNS1,PPM1B"
"MIRNA","hsa-mir-4424","MIRNA:hsa-mir-4424","false","0.000003508335387898711","5.454898895878614","702","554","55","16638","FAM133B,SRGN,DYNLT3,ATP6V1C1,ANKRD49,SLC40A1,PIGK,ARL8B,CD164,BBS10,FEM1C,YTHDF3,TDP2,CYB5R4,ATP11B,NDUFB3,SRP9,CHMP5,KIF5B,TMEM41B,FAR1,ZNF24,CUL4B,DEK,MS4A6A,TMEM167A,FAM8A1,NMD3,TRPM7,ANKHD1-EIF4EBP3,PRRG4,PPM1A,CREB5,VPS36,TMEM30A,RICTOR,MAOA,USP1,ARHGEF17,NUFIP2,EDEM3,HSP90AA1,DDX3X,PCMTD2,ADD3,NAAA,ZBTB34,UBXN4,BRCA2,ZDHHC20,COMMD8,ZNF22,ZFYVE16,RNF13,IFIT2"
"MIRNA","hsa-mir-4643","MIRNA:hsa-mir-4643","false","0.000003867826689599017","5.412532994112584","1533","554","94","16638","ATP6V1G1,PRKAR2B,LIMS1,ATP6V1C1,FCHO2,C9ORF72,ABCA1,EMB,POLK,TNPO1,BIRC2,SRC,STAG2,GMFB,SPOPL,RCHY1,SLC8A1,SLK,ADAM17,STK17B,PPIL4,GABPA,MIB1,DNAJC3,ACAP2,HIPK3,TMX1,MEF2A,MTHFD2,WDFY2,TNFSF13B,RAP1B,TM9SF3,TIA1,ATF2,CHMP5,TGFBR1,FAR1,ZNF24,CD46,RNF138,DEK,GOLPH3L,SCOC,GPR65,NMD3,DBI,UBE2D1,ICOS,GNA13,PRRG4,ALCAM,STK3,PPM1A,SUB1,CMTM6,ROCK1,TMEM30A,RICTOR,PHTF2,TBL1XR1,RAD1,PJA2,WDFY1,DNAL1,RIT1,TMX3,NRBF2,DHX36,BCL6,C18ORF32,RCBTB1,ARHGEF17,HSP90AA1,UBXN2B,FOXN2,TGFA,PCMTD2,SNX4,C5ORF24,LYSMD3,FNIP1,SLC38A2,ZNF230,MEF2C,PAG1,IL6ST,MFN1,BACH1,PKN2,NAMPT,CLEC4D,ZDHHC17,TNS1"
"MIRNA","hsa-mir-514b-3p","MIRNA:hsa-mir-514b-3p","false","0.000005385191880015381","5.268798817723987","750","554","57","16638","CYP1B1,LAMTOR3,CAPZA1,CEP19,CLIC4,METTL9,ANKRD49,MIER1,SLC44A1,SPOPL,YTHDF3,ERC1,ZNF654,SLK,CASP3,MIB1,AIDA,PPP1CB,PCNP,RNF11,TM9SF3,SRP9,OSBPL8,GALNT1,TMEM41B,FAR1,UHMK1,DEK,CSNK1G3,FAM8A1,TRPM7,GALNT3,NPHP3,GNAQ,ALCAM,PPM1A,SUB1,UBE2W,VPS36,PJA2,DNAL1,AQP9,DHX36,BCL6,NUFIP2,ARRDC3,FOXN2,TLR4,DDX3X,IER3IP1,UBXN4,HIGD1A,XRRA1,SRPK1,ZDHHC20,BACH1,C1GALT1"
"MIRNA","hsa-mir-568","MIRNA:hsa-mir-568","false","0.00000564378704741919","5.248429381500884","811","554","60","16638","DYNLT3,ANXA1,ATP6V1C1,CLIC4,FCHO2,ABCA1,MIER1,STRN3,POLK,SLC44A1,CDC40,SLK,ADAM17,PPIL4,ZNF701,PPP1CB,YIPF4,PLEKHF2,NSL1,TMX1,MTHFD2,ATP11B,RNF11,COPS2,WDFY2,SHOC2,MAP3K1,SRP9,OSBPL8,PHF6,ZNF24,FBXO30,DEK,POLR2K,TMEM167A,SCOC,SPAST,B3GNT2,GNA13,ALCAM,SAMD8,FAM91A1,ROCK1,DNAJC25-GNG10,SP3,KCTD12,DHX36,RRM2B,NUFIP2,THAP5,NEK7,IER3IP1,MEGF9,C5ORF24,PAG1,JAK2,MBNL3,PPP1R12A,MAK,RNF13"
"MIRNA","hsa-mir-4452","MIRNA:hsa-mir-4452","false","0.000005712008822358145","5.243211130451332","1060","554","72","16638","FBXL5,SERINC1,SAMD9,LAMTOR3,GAS7,ATP6V1G1,RPL22L1,MMD,LIMS1,SLC40A1,ABCA1,EMB,SLC35A5,ERC1,TMEM123,TDP2,ARL5A,ZNF701,AIDA,PPP1CB,RECQL,NSL1,RNF11,RAP1B,STX7,TM9SF3,TGDS,OSBPL8,TGFBR1,STAM2,ZNF24,PNPLA8,UHMK1,CD46,GPR65,FAM8A1,SLC22A4,VCPIP1,GNA13,PPM1A,SACM1L,CAPZA2,UBE2W,CREB5,TMEM170B,RIT1,SP3,KCTD12,HMGB2,C18ORF32,SUZ12,EDEM3,ARRDC3,UBXN2B,IER3IP1,MEGF9,MTMR6,SLC38A2,ADAM10,ZBTB34,UBXN4,HIGD1A,IL6ST,GAS8,MBNL3,BACH1,FAM20C,NAMPT,IFIT2,ARID4B,TNS1,NT5E"
"MIRNA","hsa-mir-522","MIRNA:hsa-mir-522","false","0.000005873563227092718","5.231098351840481","1082","554","73","16638","GAS7,ATP6V1G1,SLC4A7,ABHD13,ATP6V1C1,CLIC4,RAB8B,MED21,TNPO1,MBNL1,UBE2J1,FEM1C,YTHDF3,SLC35A1,DPH3,TDP2,ZNF701,YIPF4,PLEKHF2,DNAJC3,NSL1,ACAP2,IPMK,PCNP,PTAR1,RNF11,PPIP5K2,SHOC2,TM9SF3,ATF2,SRP9,OSBPL8,TGFBR1,STAM2,ZNF24,CD46,RNF138,TMEM167A,SPAST,SLC22A4,TMCO1,VMP1,ICOS,SFRP2,VCPIP1,PRRG4,ALCAM,CAPZA2,FAM91A1,ACSL4,CCP110,TMED5,TMEM30A,CCNT2,VBP1,RB1CC1,DNAL1,CTBS,AQP9,RP2,RRM2B,NEK7,RSL24D1,JAZF1,C5ORF24,SLC38A2,ZBTB34,SRPK1,MBNL3,PPP1R12A,RBM47,ARID4B,ZDHHC17"
"MIRNA","hsa-mir-569","MIRNA:hsa-mir-569","false","0.0000059508073105582204","5.225424112130791","772","554","58","16638","SAMD9,DYNLT3,C1ORF52,CLIC4,RAB8B,TNPO1,ARL8B,CD164,STAG2,GMFB,SPOPL,POC1B,FEM1C,YTHDF3,ERC1,SLC8A1,SLC30A5,NRG1,PPP1CB,PGRMC1,RAB33B,MTHFD2,TAX1BP1,COPS2,PPIP5K2,ACADM,STAM2,TMEM41B,FAR1,MOB4,TMEM167A,FAM8A1,TRPM7,SLC25A40,CCPG1,VCPIP1,ALCAM,CHURC1,UBE2W,TMEM30A,RICTOR,PHTF2,TBL1XR1,RIT1,KCTD12,NEK7,CXCL5,UBXN2B,TLR4,SIAH2,SNX4,FNIP1,MEF2C,ZBTB34,LMNB1,IL6ST,ZDHHC20,BACH1"
"MIRNA","hsa-mir-129-5p","MIRNA:hsa-mir-129-5p","false","0.0000074269644651476","5.129188653993011","2140","554","119","16638","CYP1B1,NIPSNAP3A,SERINC1,SAMD9,GAS7,WTAP,PROK2,IKBIP,DYNLT3,CAPZA1,CNIH4,MAN1A1,TNFSF10,ABHD13,LIMS1,RB1,EVI2A,STRN3,IFIT5,CD164,MBNL1,CDC40,ERC1,ZNF654,SLC35A1,ADAM17,TMEM123,DPH3,STK17B,ARL5A,MIB1,LRRC40,PPP1CB,PGRMC1,YIPF4,RECQL,NSL1,ACAP2,SART1,MEF2A,PTAR1,RNF11,SLC25A24,TM9SF3,MAP3K1,SPAG1,MSL3,GSN,CCDC86,ZRANB2,MOSPD2,PHF6,KIF5B,GALNT1,DCUN1D5,TIMM8B,ZNF24,UHMK1,CD46,TMEM167A,CD226,NMD3,TRPM7,DAPP1,VMP1,NPHP3,GNAQ,PRRG4,SAMD8,STK3,SACM1L,CHURC1,FAM91A1,ACSL4,CMTM6,ROCK1,VPS36,TMEM30A,TBL1XR1,RAD1,WDFY1,RIT1,SP3,NRBF2,KREMEN1,BCL6,RRM2B,NUFIP2,TC2N,NEK7,ARRDC3,CXCL5,RSL24D1,ZNF281,UBXN2B,SOS2,DDX3X,IER3IP1,MEGF9,APOBEC3A,CABP4,JAZF1,C5ORF24,FNIP1,ADD3,ZNF514,USP10,PAG1,SRPK1,BRCA2,IL6ST,MBNL3,ZDHHC20,PPP1R12A,ZFYVE16,RNF13,RBM47,ARID4B,TNS1"
"MIRNA","hsa-mir-514","MIRNA:hsa-mir-514","false","0.000007767878618742396","5.109697569354203","718","554","55","16638","CYP1B1,LAMTOR3,CAPZA1,CEP19,CLIC4,METTL9,ANKRD49,MIER1,SLC44A1,SPOPL,YTHDF3,ERC1,ZNF654,SLK,CASP3,MIB1,AIDA,PPP1CB,PCNP,RNF11,TM9SF3,SRP9,OSBPL8,GALNT1,TMEM41B,FAR1,UHMK1,DEK,CSNK1G3,FAM8A1,TRPM7,GALNT3,GNAQ,ALCAM,PPM1A,SUB1,UBE2W,VPS36,PJA2,DNAL1,AQP9,DHX36,BCL6,ARRDC3,FOXN2,TLR4,DDX3X,IER3IP1,UBXN4,HIGD1A,XRRA1,SRPK1,ZDHHC20,BACH1,C1GALT1"
"MIRNA","hsa-mir-3942-5p","MIRNA:hsa-mir-3942-5p","false","0.000008342452674405858","5.078706248359437","943","554","66","16638","FAM133B,WTAP,DYNLT3,KRR1,PRKACB,LIMS1,CLIC4,C9ORF72,RB1,IDH1,PIGK,EMB,MED21,TNPO1,MBNL1,YTHDF3,PPIL4,GABPA,MIB1,TRAM1,PGRMC1,RAB33B,PLEKHF2,IPMK,PCNP,PTAR1,RNF11,ITM2A,COPS2,SHOC2,TM9SF3,ZRANB2,BNIP2,UHMK1,SCOC,PPP4R1,ALCAM,SUB1,UBE2W,CREB5,VPS36,PHTF2,TBL1XR1,RAD1,PJA2,WDFY1,PER1,BCL6,C18ORF32,RRM2B,NUFIP2,CSTA,ARRDC3,ZNF281,MEGF9,PCMTD2,C5ORF24,SLC38A2,ZNF230,ADD3,IL6ST,MBNL3,ZDHHC20,BACH1,COMMD8,ZDHHC17"
